Unique Index, Index, restlegth, isforbidden(bool), source vertex, target vertex
675,183,0.321089,0,77,272
676,27,0.0897665,0,76,273
677,27,0.0897665,0,202,273
678,678,0.237759,0,274,275
679,233,0.300727,0,96,274
680,233,0.300727,0,97,274
681,18,0.0326256,0,97,275
682,18,0.0326256,0,263,275
683,683,0.982811,0,276,277
684,14,0.049,0,23,276
685,14,0.049,0,95,276
686,17,0.0245,0,176,277
687,17,0.0245,0,199,277
688,688,0.897155,0,278,279
689,223,0.267838,0,92,278
690,223,1.04505,0,93,278
691,26,0.252664,0,27,279
692,26,0.252664,0,116,279
693,693,0.0635627,0,280,281
694,248,0.152836,0,102,280
695,248,0.152836,0,103,280
696,98,0.182056,0,42,281
697,98,0.182056,0,103,281
698,698,0.119678,0,282,283
699,48,0.0738104,0,22,282
700,48,0.0738104,0,102,282
701,48,0.0738103,0,42,283
702,48,0.0738104,0,102,283
703,703,0.371695,0,284,285
704,238,0.00967894,0,98,284
705,238,0.00967894,0,99,284
706,17,0.0245,0,2,285
707,17,0.0245001,0,269,285
708,708,0.935539,0,286,287
709,22,0.104109,0,5,286
710,22,0.104109,0,84,286
711,638,0.131889,0,258,287
712,638,0.131889,0,259,287
713,713,0.259127,0,288,289
714,253,0.290054,0,104,288
715,253,0.290055,0,105,288
716,98,0.0910279,0,42,289
717,98,0.0910279,0,281,289
718,718,0.955178,0,290,291
719,58,0.102642,0,26,290
720,58,0.102642,0,100,290
721,1,0.246392,1,51,291
722,1,0,1,101,291
723,723,0.704945,0,292,293
724,13,0.2,0,2,292
725,13,0.2,0,98,292
726,14,0.0245,0,95,293
727,14,0.0245,0,258,293
728,728,0.875389,0,294,295
729,17,0.049,0,3,294
730,17,0.0489999,0,106,294
731,7,0.255396,1,71,295
732,7,0,1,107,295
733,733,0.962056,0,296,297
734,78,0.383303,0,35,296
735,78,0.383303,0,99,296
736,7,0.0714117,1,107,297
737,7,0.159681,1,271,297
738,738,0.186286,0,298,299
739,48,0.0738104,0,42,298
740,48,0.0738104,0,104,298
741,698,0.0598392,0,282,299
742,698,0.0598391,0,283,299
743,743,0.122358,0,300,301
744,263,0.138981,0,108,300
745,263,0.138981,0,109,300
746,5,1.68214,1,13,301
747,5,0,1,109,301
748,748,1.18035,0,302,303
749,63,0.965841,0,28,302
750,63,0.197146,0,108,302
751,25,0.169757,0,7,303
752,25,0.0382518,0,184,303
753,753,0.889219,0,304,305
754,17,0.049,0,35,304
755,17,0.049,0,106,304
756,7,0,1,107,305
757,7,0.0714117,1,297,305
758,758,0.755766,0,306,307
759,15,0.0595108,0,0,306
760,15,0.0595107,0,111,306
761,358,0.804713,0,146,307
762,358,0.804713,0,147,307
763,763,1.4758,0,308,309
764,88,0.276232,0,39,308
765,88,0.276232,0,110,308
766,283,1.55458,0,116,309
767,283,1.12112,0,117,309
768,768,0.323265,0,310,311
769,268,0.313187,0,110,310
770,268,0.313187,0,111,310
771,88,0.138116,0,110,311
772,88,0.138116,0,308,311
773,773,0.420142,0,312,313
774,258,0.516346,0,106,312
775,258,0.516346,0,107,312
