index, isfixed(bool), pos.x,pos.y,pos.z
184,1,-19,0,-4
185,0,-15.8229,2.52465,-2.86022
186,0,-4.86619,23.7004,2.92411
187,0,8.85734,30.4566,-2.49741
188,0,-13.5372,19.1126,6.4861
189,0,0.963338,25.9498,0.830453
190,1,6,44,15
191,0,5.05001,40.9369,11.7388
192,0,7.28681,29.4672,-2.42833
193,0,9.00614,29.4553,-2.48531
194,0,-17.4305,1.24718,-3.43695
195,0,-6.31898,11.3255,11.6775
196,1,-19,0,19
197,0,-17.4112,1.74281,18.2107
198,0,-6.28693,22.5312,3.65828
199,0,-10.5059,21.5935,4.93911
200,0,-8.3012,20.1372,5.91482
201,0,-12.4693,19.3779,6.36693
202,0,-11.8703,6.29181,4.10453
203,0,-15.1132,3.07021,-2.62763
204,0,-11.0399,7.41379,15.1
205,0,12.8426,8.54139,14.0762
206,0,8.58088,20.1995,-1.85917
207,0,6.76424,15.397,-0.696863
208,1,-19,15,4
209,0,-15.9816,14.6617,3.80085
210,0,4.2463,17.5249,0.470085
211,0,2.83227,14.5511,-0.479376
212,0,13.406,10.6168,14.9904
213,0,14.2606,10.2761,15.9919
214,0,4.25904,22.652,17.8581
215,0,4.9622,21.674,15.4946
216,0,8.07003,18.7798,-1.77461
217,0,5.7616,15.9886,-1.22725
218,1,19,7,19
219,0,16.1241,4.80122,16.214
220,0,-4.09516,12.5807,2.28542
221,0,4.01215,13.3944,-1.56603
222,0,6.91582,17.3842,-1.50093
223,0,5.74072,15.3559,-1.47239
224,0,5.55398,28.9083,-2.16052
225,0,-14.0988,16.7794,3.10895
226,1,12,7,19
227,0,14.5751,7.56904,14.6285
228,1,6,44,15
229,0,5.54587,43.1054,13.5045
230,1,12,15,19
231,0,10.5794,13.1849,14.9716
232,0,4.25943,22.651,17.8679
233,0,13.2181,35.7958,-5.0803
234,1,-19,0,19
235,0,-16.6095,2.66597,17.7985
236,1,-12,23,19
237,0,-9.73885,22.4642,10.0682
238,1,19,7,12
239,0,15.3358,6.16741,15.2017
240,0,1.32202,18.8181,9.21862
241,0,5.46863,18.4414,9.68561
242,0,17.6224,5.91359,17.6693
243,0,17.3519,2.89066,17.6359
244,1,-19,0,-4
245,0,-16.191,2.24275,-2.88204
246,1,-4,23,19
247,0,-3.15139,23.1281,17.0268
248,0,-17.1301,16.7932,5.23842
249,0,-4.49313,21.7846,9.45121
250,0,4.61199,22.1609,16.6762
251,0,11.3065,14.113,17.0324
252,1,-19,15,4
253,0,-17.724,19.2304,7.53964
254,0,-9.08213,18.7013,5.34387
255,0,8.30357,11.0152,-5.26147
256,0,15.5813,6.96694,16.6011
257,0,16.721,4.02416,16.9639
258,0,-17.5557,14.8381,3.9047
259,0,-16.0029,14.6628,3.80228
260,1,-19,15,4
261,0,-18.3696,17.0898,5.74858
262,0,15.6115,5.3585,11.3498
263,0,18.1207,1.27498,-17.2997
264,0,8.50516,14.0065,-3.53928
265,0,7.54538,28.6386,4.693
266,0,-10.323,19.116,5.83632
267,0,13.338,7.9854,-8.75048
268,0,15.2614,6.0962,15.5459
269,0,10.9238,13.7217,16.0568
270,0,17.0432,2.85321,-14.1906
271,0,8.60773,29.2281,-2.40145
272,0,8.64096,13.5808,12.6863
273,0,6.86196,8.91059,14.0934
274,0,-8.69703,7.9544,15.3745
275,0,-5.7165,23.0487,12.0996
276,0,17.2679,3.01412,-14.438
277,0,-10,18.3792,4.83408
278,0,-10.6006,10.9746,14.0071
279,0,-10.8765,6.13113,16.2432
280,0,6.63896,34.3865,13.6157
281,0,9.14375,23.4964,13.4875
282,0,8.51336,16.8775,12.3122
283,0,4.94129,17.8799,10.1988
284,1,19,0,19
285,0,18.396,1.30501,18.4279
286,1,12,15,19
287,0,11.4206,14.381,17.4749
288,0,1.8583,20.6274,3.03374
289,0,-3.67077,13.1832,9.08882
290,0,-2.48777,24.8314,1.99978
291,0,5.72525,28.957,-1.10234
292,0,4.50858,16.1549,14.6813
293,0,5.51027,14.7744,15.2427
294,1,4,31,19
295,0,4.92435,33.0427,11.5782
296,1,4,15,19
297,0,3.12197,15.0894,10.0076
298,0,16.3579,5.56741,16.7863
299,0,15.8439,6.62266,16.4588
300,0,8.38506,29.0923,7.13753
301,0,11.7385,33.8753,-2.80532
302,0,10.2,16.2589,-3.39185
303,0,5.16699,44.9473,12.146
304,0,-0.127133,22.5313,13.8046
305,0,-6.81512,10.1168,12
306,0,2.02747,28.6028,12.6771
307,0,-3.88178,11.9511,15.7695
308,0,6.72732,17.3787,11.2555
309,0,11.1437,10.322,13.8963
