Unique Index, Index, restlegth, isforbidden(bool), source vertex, target vertex
560,6,16.4106,1,54,226
561,21,1.21116,0,36,227
562,21,1.21116,0,71,227
563,563,1.44065,0,228,229
564,9,23.9065,1,76,228
565,9,0,1,190,228
566,48,1.70778,0,22,229
567,48,1.70777,0,23,229
568,568,3.71294,0,230,231
569,1,2.60825,1,158,230
570,1,1.16463,1,168,230
571,353,8.75032,0,144,231
572,353,8.75032,0,145,231
573,573,22.338,0,232,233
574,283,1.05487,0,116,232
575,283,1.05487,0,169,232
576,27,0.897665,0,66,233
577,27,0.897665,0,107,233
578,578,3.0216,0,234,235
579,2,0,1,9,234
580,2,10.2143,1,84,234
581,23,0.814019,0,135,235
582,23,0.814019,0,197,235
583,583,7.38331,0,236,237
584,8,6.70695,1,11,236
585,8,11.9978,1,20,236
586,298,6.58234,0,122,237
587,298,6.58234,0,123,237
588,588,3.94929,0,238,239
589,8,0.126558,1,92,238
590,8,0.506877,1,154,238
591,21,0.468785,0,36,239
592,21,1.09774,0,112,239
593,593,3.35184,0,240,241
594,313,4.4637,0,128,240
595,313,4.4637,0,129,240
596,14,0.98,0,53,241
597,14,0.98,0,75,241
598,598,2.42816,0,242,243
599,538,1.82722,0,218,242
600,538,1.82722,0,219,242
601,21,0.103634,0,65,243
602,21,0.105496,0,101,243
603,603,3.01147,0,244,245
604,2,0,1,13,244
605,2,8.18565,1,156,244
606,453,0.404466,0,185,245
607,453,1.28155,0,194,245
608,608,1.72143,0,246,247
609,9,9.05097,1,24,246
610,9,9.05097,1,32,246
611,193,2.08649,0,80,247
612,193,2.08648,0,119,247
613,613,11.3801,0,248,249
614,203,2.62081,0,84,248
615,203,2.62082,0,85,248
616,19,1.20739,0,2,249
617,19,1.20739,0,87,249
618,618,8.37943,0,250,251
619,528,1.06113,0,214,250
620,528,1.06113,0,215,250
621,568,1.85647,0,230,251
622,568,1.85647,0,231,251
623,623,4.5293,0,252,253
624,2,13.6,1,184,252
625,2,0,1,208,252
626,32,0.795295,0,15,253
627,32,0.795294,0,162,253
628,628,17.4138,0,254,255
629,93,2.77242,0,40,254
630,93,2.77242,0,41,254
631,58,5.83574,0,26,255
632,58,5.83574,0,27,255
633,633,2.54124,0,256,257
634,243,3.38867,0,101,256
635,243,3.38867,0,213,256
636,21,0.281719,0,101,257
637,21,0.587361,0,219,257
638,638,1.25281,0,258,259
639,513,1.21753,0,208,258
640,513,1.21753,0,209,258
641,383,2.63275,0,156,259
642,383,2.63275,0,157,259
643,643,2.23747,0,260,261
644,2,0,1,84,260
645,2,13.6,1,184,260
646,623,2.26465,0,252,261
647,623,2.26465,0,253,261
648,648,23.2381,0,262,263
649,273,2.98103,0,112,262
650,273,19.9187,0,113,262
651,26,1.7632,0,12,263
652,26,4.67213,0,39,263
653,653,13.4531,0,264,265
654,26,2.52664,0,5,264
655,26,2.52664,0,181,264
656,428,9.66371,0,175,265
657,428,6.12702,0,180,265
658,658,23.9534,0,266,267
659,93,1.38621,0,40,266
660,93,1.38621,0,254,266
661,26,0.791958,0,113,267
662,26,0.125852,0,174,267
663,663,7.03017,0,268,269
