19,0,19
19,7,19
19,15,19
19,23,19
19,31,19
-19,0,19
-19,7,19
-19,15,19
-19,23,19
-19,31,19
-12,31,19
-4,31,19
4,31,19
12,31,19
12,23,19
4,23,19
-4,23,19
-12,23,19
-12,15,19
-4,15,19
4,15,19
12,15,19
12,7,19
4,7,19
-4,7,19
-12,7,19
12,0,19
4,0,19
-4,0,19
-12,0,19
-19,0,19
-19,7,19
-19,15,19
-19,23,19
-19,31,19
-19,31,12
-19,23,12
-19,15,4
-19,15,12
-19,7,12
-19,7,4
-19,0,12
-19,0,4
-19,0,-4
19,0,-19
19,7,-19
19,15,-19
12,7,-19
4,0,-19
12,0,-19
19,0,-19
19,7,-19
19,15,-19
19,0,19
19,7,19
19,15,19
19,23,19
19,31,19
19,31,12
19,31,4
19,31,-4
19,31,-12
19,23,-12
19,23,-4
19,23,4
19,23,12
19,15,12
19,15,4
19,15,-4
19,15,-12
19,7,-12
19,7,-4
19,7,4
19,7,12
19,0,-12
19,0,-4
19,0,4
19,0,12
-4,0,-7
4,0,0
12,0,7
-12,0,-7
-12,0,0
-12,0,7
-12,0,13
-4,0,-13
-4,0,0
-4,0,7
-4,0,13
4,0,-13
4,0,-7
4,0,7
4,0,13
12,0,-13
12,0,-7
12,0,0
12,0,13
18,40,0
16,44,0
13,48,0
16,40,7
15,44,6
12,48,5
9,51,4
12,40,12
11,44,11
9,48,9
7,51,7
7,40,16
6,44,15
5,48,12
4,51,9
0,40,18
0,44,16
0,48,13
0,51,9
-7,40,16
-6,44,15
-5,48,12
-12,40,12
16,40,-7
18,40,0
16,44,0
13,48,0
