[{7.000000,8.000000,16.000000};{4.000000,-8.000000,26.000000}]
[{7.000000,8.000000,16.000000};{-7.000000,-3.300000,16.000000}]
[{4.000000,-8.000000,26.000000};{-7.000000,-3.300000,16.000000}]
[{7.000000,8.000000,16.000000};{0.000000,11.000000,-12.000000}]
[{-7.000000,-3.300000,16.000000};{-11.000000,-5.000000,-5.000000}]
[{4.000000,-8.000000,26.000000};{4.000000,-14.000000,-6.000000}]
[{-11.000000,-5.000000,-5.000000};{0.000000,11.000000,-12.000000}]
[{-11.000000,-5.000000,-5.000000};{4.000000,-14.000000,-6.000000}]
[{0.439502,-0.043469,10.192599};{0.390971,0.086403,9.593747}]
[{-1.158283,-0.676906,9.544919};{-1.365831,-0.804319,9.979280}]
[{-0.808546,-0.427640,8.571548};{-0.694343,-0.327325,8.689341}]
[{0.373298,0.270479,9.532134};{0.723668,0.342565,10.222798}]
[{-0.771511,-0.775158,7.659988};{-0.877935,-0.768442,6.890775}]
[{-0.460956,-0.116878,6.496098};{-0.469320,-0.140586,6.056246}]
[{0.037575,0.179295,8.406556};{0.081088,0.206050,8.401035}]
[{0.124242,0.206000,8.947635};{0.141021,0.222082,8.845783}]
[{-0.851560,-0.473922,4.724090};{-1.002479,-0.669329,4.078739}]
[{-3.044890,-2.921047,-2.039203};{-2.815563,-2.790255,-2.096871}]
[{-0.834347,-1.214896,11.533921};{-0.716164,-1.525050,13.471403}]
[{-0.546600,-0.601618,7.592772};{-0.423142,-0.549497,8.013182}]
[{-1.164176,-0.663513,9.672894};{-1.365831,-0.804319,9.979280}]
[{-0.694940,-0.697802,7.355005};{-0.635627,-0.690716,7.647264}]
[{-0.635627,-0.690716,7.647264};{-0.546600,-0.601618,7.592772}]
[{-0.694940,-0.697802,7.355005};{-0.720362,-0.677273,7.034773}]
[{-1.051458,-0.856928,6.722984};{-1.015057,-0.843170,7.354199}]
[{-1.037064,-0.850325,6.793626};{-0.997373,-0.846432,7.221490}]
[{-0.670485,-0.767236,8.092194};{-0.767168,-0.804287,8.024505}]
[{-0.575010,-0.744900,8.226561};{-0.619761,-0.732037,7.969116}]
[{-0.505060,-0.142420,6.349639};{-0.460956,-0.116878,6.496098}]
[{-0.615569,-0.260404,7.033660};{-0.581193,-0.235488,7.272916}]
[{3.210105,2.334536,14.152393};{4.010137,3.104318,15.064183}]
[{-1.949991,-2.116287,-1.281132};{-1.934008,-1.915985,-0.725796}]
[{0.428773,0.304323,9.724000};{0.373298,0.270479,9.532134}]
[{1.357291,0.806640,11.329851};{1.397642,0.770547,11.518531}]
[{-0.106239,0.089832,7.503621};{-0.090263,0.107402,7.598072}]
[{-0.090263,0.107402,7.598072};{-0.049819,0.108037,7.622966}]
[{-0.161053,0.058082,7.985973};{-0.061486,0.118089,8.309964}]
[{-0.131639,0.046084,9.816472};{-0.337716,-0.066443,10.598535}]
[{-0.131639,0.046084,9.816472};{0.080711,0.154158,9.480992}]
[{-2.544146,-2.163182,-0.358288};{-1.574648,-1.324780,1.380829}]
[{-0.557969,-0.177104,5.433950};{-0.546437,-0.174817,5.509309}]
[{-0.546437,-0.174817,5.509309};{-0.539844,-0.183197,5.601817}]
[{-2.547988,-2.198939,-0.752340};{-2.544146,-2.163182,-0.358288}]
[{-2.359207,-2.046113,-0.894817};{-2.547988,-2.198939,-0.752340}]
[{-2.678773,-2.481390,-1.668104};{-2.480769,-2.266561,-1.375702}]
[{-2.678773,-2.481390,-1.668104};{-2.773334,-2.520403,-1.653354}]
[{0.074900,0.200701,8.536189};{0.115024,0.226758,8.459724}]
[{0.115024,0.226758,8.459724};{0.081088,0.206050,8.401035}]
[{-0.646036,-0.239329,5.910897};{-0.605980,-0.207511,5.976673}]
[{2.797589,1.999123,13.620598};{3.210105,2.334536,14.152393}]
[{0.649001,-0.152335,11.542550};{0.384866,-0.387229,11.532858}]
[{-0.517209,-0.146900,5.638306};{-0.543970,-0.147261,5.417384}]
[{-0.423146,-0.096380,6.618132};{-0.460956,-0.116878,6.496098}]
[{-0.519394,-0.752548,8.461017};{-0.575010,-0.744900,8.226561}]
[{-0.347104,-0.537389,8.372180};{-0.423142,-0.549497,8.013182}]
[{3.703356,1.064340,16.842880};{4.981269,4.304200,15.843662}]
[{4.981269,4.304200,15.843662};{4.010137,3.104318,15.064183}]
[{4.981269,4.304200,15.843662};{7.000000,8.000000,16.000000}]
[{-2.372062,-2.056644,-0.987651};{-2.290955,-2.000240,-0.940996}]
[{1.186452,0.820704,11.198619};{0.924436,0.574482,10.584656}]
[{-0.904742,-1.175739,11.225379};{-2.136008,-1.320358,11.475942}]
[{-0.904742,-1.175739,11.225379};{-0.834347,-1.214896,11.533921}]
[{-0.102711,-0.855897,12.003594};{-0.148914,-0.931457,12.261497}]
[{-0.398404,-0.782073,8.958412};{-0.375486,-0.780235,9.037782}]
[{-0.486152,-0.756453,8.607360};{-0.519394,-0.752548,8.461017}]
[{-1.022745,-1.105641,10.686108};{-0.904742,-1.175739,11.225379}]
[{-1.662596,-1.159380,10.782819};{-2.136008,-1.320358,11.475942}]
[{-1.662596,-1.159380,10.782819};{-1.503459,-1.089443,10.490971}]
[{-1.204529,-1.047580,10.264512};{-0.990094,-1.038714,10.170421}]
[{-1.156987,-1.088311,10.526148};{-1.022745,-1.105641,10.686108}]
[{-0.542965,-0.420372,6.555928};{-0.512943,-0.364028,6.491518}]
[{-0.708017,-0.297904,5.824715};{-0.753472,-0.338909,5.668932}]
[{1.064700,0.643311,10.799743};{0.924436,0.574482,10.584656}]
[{0.039650,-0.227868,9.027720};{0.012475,-0.136161,8.539714}]
[{0.210101,0.285054,8.355200};{0.212398,0.285048,8.371882}]
[{-0.396736,-0.777130,8.945889};{-0.398404,-0.782073,8.958412}]
[{0.036729,0.139880,7.987432};{0.034840,0.164509,7.957167}]
[{0.036729,0.139880,7.987432};{-0.005208,0.129346,7.822143}]
[{-0.731722,-0.752511,7.625089};{-0.671429,-0.754312,7.946241}]
[{-0.671429,-0.754312,7.946241};{-0.670485,-0.767236,8.092194}]
