[{0.000000,-5.000000,5.000000};{-0.776249,-2.717842,4.126314}]
[{0.000000,0.000000,5.000000};{-0.281595,0.893638,4.034087}]
[{0.000000,5.000000,5.000000};{-0.540096,2.467710,4.146299}]
[{-0.540096,2.467710,4.146299};{-0.281595,0.893638,4.034087}]
[{0.875456,0.746275,-0.157571};{1.341365,0.472541,0.938681}]
[{-3.405326,3.562241,4.109041};{-3.820915,3.977476,3.779060}]
[{-1.834801,-3.143763,-3.929190};{-1.892395,-2.113076,-3.348776}]
[{1.072242,-1.329032,2.214114};{1.341365,0.472541,0.938681}]
[{-0.856112,-3.328021,-4.186923};{-0.358037,-1.685916,-3.552812}]
[{0.133852,1.860804,-0.601494};{0.317500,1.475582,0.309846}]
[{-3.137567,0.558553,3.880000};{-3.059957,2.197531,3.441585}]
[{1.955949,-3.129382,3.459940};{1.072242,-1.329032,2.214114}]
[{1.955949,-3.129382,3.459940};{2.500000,-5.000000,5.000000}]
[{-0.289823,-3.933983,-4.470167};{-0.251685,-1.910929,-3.454660}]
[{-0.289823,-3.933983,-4.470167};{0.000000,-5.000000,-5.000000}]
[{2.367302,-1.051941,-0.634711};{1.892588,0.456640,-1.180893}]
[{-5.000000,5.000000,2.500000};{-4.025255,3.995059,3.258389}]
[{-5.000000,5.000000,3.750000};{-4.154292,4.204517,3.570341}]
[{-4.154292,4.204517,3.570341};{-3.820915,3.977476,3.779060}]
[{-4.154292,4.204517,3.570341};{-4.025255,3.995059,3.258389}]
[{2.775463,-3.464583,3.578836};{2.917065,-2.999228,3.297170}]
[{-0.719401,1.497282,-2.446440};{-0.735572,1.415316,-2.466280}]
[{3.968241,-3.916890,0.184331};{5.000000,-5.000000,0.000000}]
[{3.968241,-3.916890,0.184331};{3.330261,-3.427380,0.789994}]
[{-0.456552,0.750107,-2.236036};{-0.464619,0.764043,-2.226298}]
[{-0.404268,0.237085,-2.288635};{-0.312098,0.167494,-2.241753}]
[{-0.312098,0.167494,-2.241753};{-0.254996,0.146408,-2.262348}]
[{3.600214,-3.218900,-1.882624};{3.261001,-2.757544,-0.875276}]
[{2.500000,2.500000,-5.000000};{2.322658,2.133208,-3.515209}]
[{-0.186394,0.024805,-2.218017};{-0.254996,0.146408,-2.262348}]
[{-0.086256,-0.004111,-1.915162};{0.094235,-0.052945,-1.587337}]
[{-1.340609,-3.531955,-4.211991};{-1.834801,-3.143763,-3.929190}]
[{-1.340609,-3.531955,-4.211991};{-0.856112,-3.328021,-4.186923}]
[{-2.870216,2.866348,2.415834};{-1.980279,1.491946,0.698288}]
[{-2.870216,2.866348,2.415834};{-2.995361,3.262418,2.810689}]
[{0.801525,1.286695,0.525044};{1.341365,0.472541,0.938681}]
[{0.801525,1.286695,0.525044};{0.317500,1.475582,0.309846}]
[{2.459978,-2.925802,2.849245};{2.505728,-3.330919,3.393379}]
[{2.459978,-2.925802,2.849245};{2.286838,-2.606590,2.360618}]
[{-2.009861,2.936827,-0.189690};{-0.879745,2.144891,0.405481}]
[{2.500000,5.000000,-2.500000};{2.395895,4.227454,-2.321006}]
[{-0.843134,-1.510161,2.860734};{-2.240174,-1.612031,3.196159}]
[{-1.589099,-0.788583,-3.065706};{-1.892395,-2.113076,-3.348776}]
[{1.250000,1.250000,-5.000000};{0.128956,-0.013423,-3.544580}]
[{-2.262057,2.326999,-2.808254};{-2.262136,2.301338,-2.826571}]
[{3.264533,-0.364183,3.325488};{1.930798,-0.008761,2.290667}]
[{3.264533,-0.364183,3.325488};{5.000000,0.000000,5.000000}]
[{2.938988,2.049453,-2.834551};{3.130051,1.819864,-2.932867}]
[{-0.268740,-1.480932,-3.307695};{-0.358037,-1.685916,-3.552812}]
[{-0.268740,-1.480932,-3.307695};{-0.251685,-1.910929,-3.454660}]
[{0.002941,1.998809,-0.894401};{0.016796,2.000122,-0.926069}]
[{5.000000,0.000000,-5.000000};{3.634852,1.357194,-3.486901}]
[{3.634852,1.357194,-3.486901};{3.130051,1.819864,-2.932867}]
[{1.823207,-3.605581,1.322217};{2.058606,-2.702697,1.395633}]
[{-5.000000,5.000000,4.375000};{-4.045969,4.182257,3.667823}]
[{-2.297396,2.087475,-2.984662};{-2.214335,2.004743,-2.966964}]
[{-1.143452,-1.700226,3.400698};{-0.843134,-1.510161,2.860734}]
[{-0.442840,0.790772,-2.244909};{-0.447557,0.773080,-2.237692}]
[{-2.332519,2.372328,-2.827509};{-2.329520,2.380037,-2.819511}]
[{-2.364412,2.384299,-2.842072};{-2.363727,2.401537,-2.827187}]
[{-0.143600,-0.021862,-2.095308};{-0.186394,0.024805,-2.218017}]
[{-0.143600,-0.021862,-2.095308};{-0.086256,-0.004111,-1.915162}]
[{-0.165931,1.543482,0.414404};{0.317500,1.475582,0.309846}]
[{-0.413063,0.996233,0.402892};{0.155426,0.604695,0.130532}]
[{-0.407487,0.807655,-2.265447};{-0.402106,0.804128,-2.271553}]
[{2.154805,1.830178,-2.730415};{2.322658,2.133208,-3.515209}]
