[{-5.700877,0.000000,5.972347};{-4.343525,3.800585,-1.900292}]
[{2.558591,7.866960,-0.218843};{2.770729,9.032071,0.413981}]
[{2.770729,9.032071,0.413981};{3.257644,10.858814,-2.171763}]
[{-3.383300,1.365545,5.833426};{-5.700877,0.000000,5.972347}]
[{2.412017,7.649937,2.135149};{2.770729,9.032071,0.413981}]
[{2.553382,1.690253,4.317861};{2.986174,0.000000,7.601170}]
[{0.832742,4.027604,2.561980};{0.340744,3.888672,2.493480}]
[{2.485288,7.105393,5.756872};{2.986174,7.601170,7.601170}]
[{1.888518,3.312075,-2.427285};{2.372834,3.383468,-2.282941}]
[{-3.163330,1.484205,-2.036106};{-4.343525,0.000000,-1.900292}]
[{-2.559003,1.728493,5.736434};{-1.946383,2.092139,5.681667}]
[{-2.559003,1.728493,5.736434};{-3.383300,1.365545,5.833426}]
[{0.882414,3.891119,-2.583862};{0.823467,4.150955,-2.540592}]
[{1.155165,5.853288,-2.198738};{1.616877,6.747112,-2.098496}]
[{1.655593,5.895043,-2.017341};{1.616877,6.747112,-2.098496}]
[{-1.761941,2.030382,5.632602};{-1.664598,2.207206,5.644311}]
[{-1.761941,2.030382,5.632602};{-2.559003,1.728493,5.736434}]
[{2.111004,3.226511,-2.683485};{1.888518,3.312075,-2.427285}]
[{1.487506,5.872223,-2.092279};{1.258451,5.111936,-2.226629}]
[{1.487506,5.872223,-2.092279};{1.655593,5.895043,-2.017341}]
[{1.487506,5.872223,-2.092279};{1.155165,5.853288,-2.198738}]
[{1.364430,3.286280,-2.297997};{1.231343,3.185198,-2.252757}]
[{2.322543,5.853709,-0.349013};{2.278236,5.326311,0.203903}]
[{2.401099,7.274181,0.356215};{2.199698,6.657959,1.137440}]
[{2.401099,7.274181,0.356215};{2.558591,7.866960,-0.218843}]
[{2.299731,4.705505,0.353359};{2.278236,5.326311,0.203903}]
[{0.878892,3.451459,3.588287};{0.727825,3.898847,3.218641}]
[{0.878892,3.451459,3.588287};{0.848203,3.392654,3.372587}]
[{0.755316,3.502491,-3.019333};{0.891218,3.378164,-2.498218}]
[{0.755316,3.502491,-3.019333};{0.878260,3.290875,-3.532679}]
[{2.465472,2.246471,2.955251};{2.553382,1.690253,4.317861}]
[{2.169957,3.098548,2.166960};{1.987755,3.307389,2.338647}]
[{0.922126,5.442520,-2.246817};{1.065768,5.148866,-2.276227}]
[{0.922126,5.442520,-2.246817};{1.155165,5.853288,-2.198738}]
[{-0.633675,3.616739,5.871590};{-0.408328,3.874019,5.947766}]
[{0.865042,2.984202,-2.102587};{1.012426,3.271294,-2.267376}]
[{0.865042,2.984202,-2.102587};{1.231343,3.185198,-2.252757}]
[{-0.183331,2.339823,5.418143};{-0.611283,2.318961,5.473091}]
[{-0.611283,2.318961,5.473091};{-0.420546,2.399506,5.440594}]
[{-0.183331,2.339823,5.418143};{-0.420546,2.399506,5.440594}]
[{-0.183331,2.339823,5.418143};{0.544314,2.290480,5.332582}]
[{2.311645,2.484741,2.931341};{2.485898,2.391184,2.184733}]
[{2.485898,2.391184,2.184733};{2.465472,2.246471,2.955251}]
[{1.057261,3.925175,-2.488175};{0.882414,3.891119,-2.583862}]
[{1.330324,4.461649,-2.341302};{1.172733,4.419546,-2.439393}]
[{-3.154893,2.332654,-2.067532};{-3.811581,1.481198,-1.972348}]
[{-3.811581,1.481198,-1.972348};{-4.343525,0.000000,-1.900292}]
[{-3.154893,2.332654,-2.067532};{-3.163330,1.484205,-2.036106}]
[{1.896664,4.298112,1.914503};{1.754454,3.910090,2.424202}]
[{1.702155,5.572197,-1.968003};{1.655593,5.895043,-2.017341}]
[{0.145429,4.484073,6.128944};{0.570746,4.859287,6.110440}]
[{1.302177,3.293534,-2.924713};{1.299975,3.252983,-2.744190}]
[{1.299975,3.252983,-2.744190};{1.361529,3.277978,-2.812768}]
[{1.299975,3.252983,-2.744190};{1.210415,3.177443,-2.511146}]
[{1.302177,3.293534,-2.924713};{1.361529,3.277978,-2.812768}]
[{1.098946,4.643994,2.667331};{0.880216,4.377485,2.609665}]
[{-1.124004,2.867849,5.643969};{-1.044092,2.889020,5.613554}]
[{1.134882,3.774111,-2.419384};{1.073825,3.604920,-2.418724}]
[{1.134882,3.774111,-2.419384};{1.057261,3.925175,-2.488175}]
[{1.130085,3.404564,-2.325310};{1.012426,3.271294,-2.267376}]
[{1.130085,3.404564,-2.325310};{1.262907,3.389098,-2.338001}]
[{-1.038723,2.439978,5.528252};{-1.163374,2.231537,5.549233}]
[{-1.163374,2.231537,5.549233};{-1.761941,2.030382,5.632602}]
[{-1.163374,2.231537,5.549233};{-0.611283,2.318961,5.473091}]
[{-0.373943,3.705970,5.711956};{-0.633675,3.616739,5.871590}]
[{-1.089930,2.994060,5.680447};{-1.035054,2.965660,5.635816}]
[{0.019777,3.272937,5.113638};{-0.331448,3.081449,5.311237}]
[{0.417217,3.337914,4.776830};{0.297063,3.670537,4.952446}]
[{1.307771,4.829751,2.509794};{1.098946,4.643994,2.667331}]
[{2.074239,6.069982,1.315513};{1.886192,5.559105,1.658857}]
[{2.074239,6.069982,1.315513};{2.199698,6.657959,1.137440}]
[{2.023923,5.457076,1.373203};{2.014295,5.196228,1.406573}]
[{2.023923,5.457076,1.373203};{1.886192,5.559105,1.658857}]
[{1.020299,4.028304,2.586823};{0.832742,4.027604,2.561980}]
[{0.946430,4.129541,2.565139};{0.880216,4.377485,2.609665}]
[{2.139678,5.229224,0.968526};{2.159507,5.041415,0.911474}]
[{2.428135,6.669150,-0.160038};{2.322543,5.853709,-0.349013}]
[{2.067116,5.141679,1.225179};{2.139678,5.229224,0.968526}]
[{1.968504,4.914286,1.551131};{2.014295,5.196228,1.406573}]
[{2.294594,5.802453,-0.924922};{2.322543,5.853709,-0.349013}]
[{1.604726,3.364144,-2.312231};{1.410719,3.256050,-2.327040}]
[{1.410719,3.256050,-2.327040};{1.472050,3.250304,-2.417206}]
[{1.410719,3.256050,-2.327040};{1.231343,3.185198,-2.252757}]
[{1.604726,3.364144,-2.312231};{1.777993,3.434960,-2.287359}]
[{0.624551,3.684305,-2.785146};{0.755316,3.502491,-3.019333}]
[{-0.341154,4.045272,6.098691};{-0.178080,4.250196,6.196730}]
[{-0.341154,4.045272,6.098691};{-0.408328,3.874019,5.947766}]
[{1.150532,3.926111,2.649013};{1.069161,3.534347,2.922611}]
[{1.150532,3.926111,2.649013};{1.020299,4.028304,2.586823}]
[{0.978508,4.530963,3.387828};{0.969080,4.430734,3.612295}]
