[{7.000000,8.000000,16.000000};{4.000000,-8.000000,26.000000}]
[{7.000000,8.000000,16.000000};{-7.000000,-3.300000,16.000000}]
[{4.000000,-8.000000,26.000000};{-7.000000,-3.300000,16.000000}]
[{7.000000,8.000000,16.000000};{0.000000,11.000000,-12.000000}]
[{-7.000000,-3.300000,16.000000};{-11.000000,-5.000000,-5.000000}]
[{4.000000,-8.000000,26.000000};{4.000000,-14.000000,-6.000000}]
[{-11.000000,-5.000000,-5.000000};{0.000000,11.000000,-12.000000}]
[{4.000000,-14.000000,-6.000000};{0.000000,11.000000,-12.000000}]
[{-11.000000,-5.000000,-5.000000};{4.000000,-14.000000,-6.000000}]
[{-1.230182,-0.675692,7.738648};{-1.227675,-0.682754,7.468888}]
[{-2.044857,-1.362480,-0.682474};{-1.731198,-0.658194,1.155691}]
[{-0.653084,-0.967159,9.774932};{-1.213212,-1.171372,10.007008}]
[{-1.213212,-1.171372,10.007008};{-1.305469,-1.301553,10.746312}]
[{0.462290,-0.000498,10.254240};{0.493309,0.216108,9.697122}]
[{-1.334347,-0.756723,9.747892};{-1.574988,-0.950566,10.401009}]
[{-0.777243,-0.283654,8.666924};{-0.601557,-0.138423,8.693139}]
[{0.674057,0.553043,9.668699};{0.859028,0.474224,10.403635}]
[{-0.706447,4.743369,-7.132751};{0.000000,11.000000,-12.000000}]
[{-0.817481,-0.809222,8.323335};{-0.943239,-0.744068,7.382876}]
[{-0.389948,0.111710,6.569946};{-0.486693,0.046617,6.024447}]
[{0.260582,0.462014,8.660853};{0.294778,0.481041,8.662724}]
[{0.260582,0.462014,8.660853};{0.188506,0.419009,8.562901}]
[{0.451571,0.534179,9.085171};{0.431089,0.532378,9.006976}]
[{-1.045399,-0.755332,7.149483};{-0.943239,-0.744068,7.382876}]
[{-0.921338,-0.705441,7.132118};{-0.943239,-0.744068,7.382876}]
[{-0.835174,-0.211763,4.819652};{-1.009330,-0.334663,4.183708}]
[{-0.514274,-0.029001,5.703457};{-0.486693,0.046617,6.024447}]
[{-3.510320,-2.784286,-2.268190};{-3.282103,-2.696757,-2.162603}]
[{-3.282103,-2.696757,-2.162603};{-3.031211,-2.333248,-1.719064}]
[{-3.510320,-2.784286,-2.268190};{-3.298583,-2.242808,-1.366550}]
[{-0.950656,-1.572434,12.323262};{-0.510353,-2.003393,14.342559}]
[{-0.532113,-0.584048,8.028633};{-0.362443,-0.517961,8.476513}]
[{-1.242785,-0.689407,10.039586};{0.033884,0.259623,9.466672}]
[{-1.242785,-0.689407,10.039586};{-1.574988,-0.950566,10.401009}]
[{-0.691662,-0.685779,7.893152};{-0.607017,-0.680013,8.225431}]
[{-0.607017,-0.680013,8.225431};{-0.532113,-0.584048,8.028633}]
[{-0.607017,-0.680013,8.225431};{-0.615087,-0.742007,8.529368}]
[{-0.691662,-0.685779,7.893152};{-0.732465,-0.641413,7.416269}]
[{-1.226683,-0.694559,6.988301};{-1.243411,-0.680581,6.985727}]
[{-1.243411,-0.680581,6.985727};{-1.230182,-0.675692,7.738648}]
[{-1.226683,-0.694559,6.988301};{-1.227675,-0.682754,7.468888}]
[{-0.692906,-0.823706,8.804786};{-0.806899,-0.880332,8.874502}]
[{-0.574029,-0.785834,8.888234};{-0.615087,-0.742007,8.529368}]
[{-0.432879,0.088450,6.455262};{-0.389948,0.111710,6.569946}]
[{-0.535240,-0.017894,7.015060};{-0.468479,0.007522,7.476921}]
[{3.304132,2.771798,13.808318};{3.057580,2.411964,13.690008}]
[{3.057580,2.411964,13.690008};{3.167548,2.462352,13.918809}]
[{3.304132,2.771798,13.808318};{4.053801,3.607677,14.598069}]
[{-2.090191,-1.597341,-1.394363};{-2.044857,-1.362480,-0.682474}]
[{0.752460,0.596421,9.861501};{0.674057,0.553043,9.668699}]
[{1.465163,0.965220,11.392160};{1.434859,0.855422,11.537575}]
[{-0.446012,0.065038,6.776503};{-0.356189,0.123807,6.923208}]
[{-0.014679,0.315115,7.712718};{0.008590,0.326025,7.817591}]
[{0.008590,0.326025,7.817591};{0.044533,0.333196,7.845515}]
[{0.002884,0.309497,8.209726};{0.188506,0.419009,8.562901}]
[{0.585220,0.614607,9.643807};{0.772069,0.746324,10.096148}]
[{0.585220,0.614607,9.643807};{0.568865,0.561663,9.468999}]
[{-0.547151,-4.414058,-4.592394};{0.193429,-6.553088,-4.828017}]
[{-0.547151,-4.414058,-4.592394};{-0.997568,-2.570535,-4.467474}]
[{-3.043525,-2.185281,-1.422538};{-3.031211,-2.333248,-1.719064}]
[{-2.843427,-1.712130,-0.492776};{-1.731198,-0.658194,1.155691}]
[{-0.542807,-0.032318,5.442395};{-0.531464,-0.033137,5.527439}]
[{-0.531464,-0.033137,5.527439};{-0.519703,-0.043538,5.655151}]
[{-2.881527,-1.904636,-0.959701};{-2.843427,-1.712130,-0.492776}]
[{-0.523605,-0.048637,7.734887};{-0.468479,0.007522,7.476921}]
[{-0.523605,-0.048637,7.734887};{-0.440823,0.002335,8.014366}]
[{-2.665256,-2.041751,-1.608906};{-2.674408,-2.101933,-1.706430}]
[{-2.725210,-1.930033,-1.287339};{-2.881527,-1.904636,-0.959701}]
[{-2.920204,-2.359367,-1.872680};{-2.674408,-2.101933,-1.706430}]
[{-2.920204,-2.359367,-1.872680};{-3.031211,-2.333248,-1.719064}]
[{0.310863,0.492025,8.777464};{0.335390,0.503387,8.721069}]
[{0.335390,0.503387,8.721069};{0.294778,0.481041,8.662724}]
[{-0.562474,0.010097,6.049486};{-0.526350,0.031186,6.014990}]
[{2.923150,2.401950,13.317025};{3.304132,2.771798,13.808318}]
[{0.607947,-0.178952,11.538261};{0.362189,-0.459253,11.579576}]
[{-0.534792,-0.009225,5.553859};{-0.566147,-0.023822,5.385357}]
[{-0.534792,-0.009225,5.553859};{-0.535401,-0.005900,5.469420}]
[{-0.940579,-0.447816,9.640882};{-1.129223,-0.587068,9.399796}]
[{-1.129223,-0.587068,9.399796};{-1.334347,-0.756723,9.747892}]
[{-0.940579,-0.447816,9.640882};{-1.242785,-0.689407,10.039586}]
