index, isfixed(bool), pos.x,pos.y,pos.z
178,1,-12,1,-9
179,0,-10.3447,4.22631,-3.93716
180,0,-11.0126,2.72631,-6.47667
181,0,-0.170645,6.728,-5.35172
182,1,4,0,-6
183,0,-2.6033,11.2338,4.35914
184,1,-2,12,14
185,0,1.16666,22.1297,-14.1512
186,1,3,24,-15
187,0,-11.6632,2.49033,-5.47095
188,1,-12,1,-9
189,0,-11.7906,2.4885,-5.10429
190,1,-12,1,-9
191,0,-2.40899,11.5686,12.9967
192,1,-2,12,14
193,0,1.1705,22.1301,-14.1547
194,0,-5.79085,17.6565,-12.6341
195,0,-11.0984,2.65049,-6.50942
196,1,-12,1,-9
197,0,1.70718,3.7371,-4.6152
198,0,2.65221,4.75035,-2.04773
199,0,-8.36966,5.38179,-4.94485
200,0,-9.30601,4.53325,-4.65225
201,0,-1.63211,10.0665,4.08168
202,0,-1.98813,11.5541,11.1529
203,0,-1.5243,9.46601,0.174589
204,1,4,0,-6
205,0,-9.06549,20.4083,-14.5275
206,1,3,24,-15
207,0,-11.2554,3.68685,-3.04491
208,0,-11.7563,2.9688,-3.713
209,0,-3.70151,13.4988,-7.37745
210,1,3,24,-15
211,0,-1.91894,21.7754,-14.3879
212,0,-4.04399,11.6899,-9.26194
213,0,7.43906,0.528291,-8.62212
214,0,3.54118,1.16569,-5.79286
215,0,-4.10182,12.4722,10.0374
216,0,-2.52123,12.9486,5.88241
217,0,-0.756565,7.85561,-2.46353
218,1,4,0,-6
219,0,-2.6768,17.9415,-12.3775
220,0,-4.58218,14.3048,-10.7766
221,0,-5.6371,13.0506,12.8026
222,1,-2,12,14
223,0,9.60972,22.0609,-7.90548
224,1,8,23,-4
225,0,-2.19955,10.9341,5.81023
226,0,-2.93684,13.2186,7.56329
227,0,-3.07166,12.4866,12.518
228,1,-2,12,14
229,0,-2.7728,11.9328,9.84931
230,0,-7.07094,6.45517,2.19219
231,0,-11.9695,1.15045,-8.63319
232,1,-12,1,-9
233,0,-1.05375,8.52617,-0.973164
