Unique Index, Index, restlegth, isforbidden(bool), source vertex, target vertex
630,10,3.29809,1,0,250
631,10,0,1,62,250
632,632,7.16662,0,251,252
633,77,0.917298,0,53,251
634,77,0.917298,0,88,251
635,22,-nan(ind),1,54,252
636,22,-nan(ind),1,130,252
637,637,5.75131,0,253,254
638,232,1.98478,0,91,253
639,232,1.98478,0,92,253
640,23,9.27253,1,4,254
641,23,0,1,42,254
642,642,6.18675,0,255,256
643,107,2.54128,0,41,255
644,107,2.54128,0,91,255
645,23,-nan(ind),1,42,256
646,23,-nan(ind),1,234,256
647,647,2.29977,0,257,258
648,67,0.547895,0,26,257
649,67,0.547895,0,87,257
650,77,0.458649,0,53,258
651,77,0.458649,0,251,258
652,652,13.2288,0,259,260
653,87,4.32803,0,34,259
654,87,4.32803,0,94,259
655,3,0.2338,0,86,260
656,3,0.2338,0,245,260
657,657,1.12825,0,261,262
658,32,0.983664,0,11,261
659,32,0.983664,0,85,261
660,3,0.4676,0,11,262
661,3,0.467601,0,183,262
662,662,2.54637,0,263,264
663,237,3.21961,0,93,263
664,237,3.21961,0,94,263
665,3,0.2338,0,110,264
666,3,0.2338,0,216,264
667,667,0.376743,0,265,266
668,222,0.718522,0,87,265
669,222,0.718522,0,88,265
670,77,0.458649,0,88,266
671,77,0.458649,0,236,266
672,672,7.69019,0,267,268
673,5,0.377595,0,8,267
674,5,0.377595,0,95,267
675,23,9.27253,1,4,268
676,23,0,1,254,268
677,677,7.29084,0,269,270
678,3,0.2338,0,8,269
679,3,0.2338,0,92,269
680,23,-nan(ind),1,254,270
681,23,-nan(ind),1,268,270
682,682,7.92971,0,271,272
683,5,0.377595,0,39,271
684,5,0.377595,0,95,271
685,27,0.932419,0,9,272
686,27,0.93242,0,118,272
687,687,2.84619,0,273,274
688,247,0.615823,0,97,273
689,247,3.05459,0,98,273
690,10,16.0154,1,6,274
691,10,0,1,98,274
692,692,1.43996,0,275,276
693,242,2.78637,0,95,275
694,242,2.78637,0,96,275
695,1,0.861571,0,21,276
696,1,0.861572,0,96,276
697,697,1.64782,0,277,278
698,1,0.430786,0,8,277
699,1,0.430786,0,99,277
700,3,0.2338,0,79,278
701,3,0.2338,0,217,278
702,702,7.32216,0,279,280
703,1,0.430786,0,45,279
704,1,0.430786,0,99,279
705,10,4.86104,1,6,280
706,10,11.1543,1,274,280
707,707,3.51141,0,281,282
708,252,4.23269,0,99,281
709,252,4.23269,0,100,281
710,14,-nan(ind),1,46,282
711,14,-nan(ind),1,100,282
712,712,1.4225,0,283,284
713,262,1.48572,0,103,283
714,262,1.48572,0,104,283
715,25,-nan(ind),1,104,284
716,25,-nan(ind),1,224,284
717,717,2.09038,0,285,286
718,42,2.01246,0,16,285
719,42,2.01246,0,55,285
720,24,0,1,16,286
721,24,8.5782,1,142,286
722,722,9.47205,0,287,288
723,1,1.42129,0,9,287
724,1,1.42129,0,97,287
725,197,2.52444,0,78,288
726,197,2.52444,0,211,288
727,727,4.49615,0,289,290
728,1,0.18925,0,34,289
729,1,0.414462,0,97,289
730,1,0.861572,0,9,290
731,1,0.861572,0,96,290
732,732,2.71886,0,291,292
733,107,2.54128,0,42,291
734,107,2.54128,0,91,291
735,232,0.992391,0,91,292
736,232,0.992391,0,253,292
737,737,2.03567,0,293,294
738,267,2.80327,0,105,293
739,267,2.80327,0,106,293
740,3,0.4676,0,22,294
741,3,0.467601,0,106,294
742,742,2.23827,0,295,296
743,277,3.4322,0,109,295
744,277,3.4322,0,110,295
745,3,0.2338,0,22,296
746,3,0.2338,0,294,296
747,747,3.13117,0,297,298
748,272,3.85595,0,107,297
749,272,3.85595,0,108,297
750,16,0,1,108,298
751,16,6.56285,1,124,298
752,752,0.544157,0,299,300
753,8,0.411142,0,15,299
754,8,0.220879,0,101,299
755,8,0.31601,0,15,300
756,8,0.31601,0,242,300
757,757,6.3664,0,301,302
758,8,0.31601,0,43,301
759,8,0.31601,0,101,301
760,20,-nan(ind),1,102,302
761,20,-nan(ind),1,154,302
762,762,1.43823,0,303,304
763,27,1.64549,0,10,303
764,27,1.64549,0,103,303
765,25,0,1,10,304
766,25,2.68592,1,40,304
767,767,7.38817,0,305,306
768,3,0.4676,0,73,305
769,3,0.467601,0,106,305
770,512,5.03188,0,203,306
771,512,5.03188,0,204,306
772,772,1.58996,0,307,308
773,57,1.43909,0,22,307
774,57,1.43909,0,109,307
775,742,1.11914,0,295,308
776,742,1.11914,0,296,308
777,777,3.30527,0,309,310
778,57,1.43909,0,21,309
779,57,1.43909,0,109,309
780,3,0.2338,0,41,310
781,3,0.2338,0,217,310
782,782,2.05309,0,311,312
783,7,1.32089,0,6,311
784,7,1.99872,0,111,311
785,7,2.84512,0,47,312
786,7,0.474491,0,111,312
787,787,4.68489,0,313,314
788,287,5.44784,0,113,313
789,287,5.44784,0,114,313
790,25,-nan(ind),1,40,314
791,25,-nan(ind),1,114,314
792,792,4.85751,0,315,316
793,117,2.49828,0,45,315
794,117,2.49828,0,115,315
795,417,7.92165,0,165,316
796,417,0.902123,0,166,316
797,797,0.958586,0,317,318
798,282,1.17749,0,111,317
799,282,1.17749,0,112,317
800,13,1.30661,1,6,318
801,13,0,1,112,318
802,802,7.77551,0,319,320
803,8,0.632021,0,8,319
804,8,0.63202,0,105,319
805,20,0,1,128,320
806,20,4.75554,1,154,320
807,807,0.179354,0,321,322
808,117,2.74076,0,46,321
809,117,2.2558,0,115,321
810,292,2.14627,0,115,322
811,292,2.14627,0,116,322
812,812,12.8721,0,323,324
813,102,2.72511,0,40,323
814,102,2.72511,0,117,323
815,27,0.621851,0,103,324
816,27,0.804283,0,118,324
817,817,6.76707,0,325,326
818,3,0.4676,0,11,325
819,3,0.4676,0,110,325
820,11,1.90753,1,2,326
821,11,0,1,184,326
822,822,6.65695,0,327,328
823,102,2.72511,0,39,327
824,102,2.72511,0,117,327
825,25,-nan(ind),1,40,328
826,25,-nan(ind),1,314,328
827,827,2.86427,0,329,330
828,3,0.2338,0,79,329
829,3,0.2338,0,92,329
830,232,0.496195,0,91,330
831,232,0.496195,0,292,330
832,832,1.16791,0,331,332
833,5,0.377595,0,39,331
