Unique Index, Index, restlegth,isvisible(bool), isforbidden(bool), source vertex, target vertex
683,683,2.31874,1,0,276,277
684,58,0.104768,1,0,27,276
685,58,0.104768,1,0,93,276
686,32,0.250884,1,0,32,277
687,32,0.250884,1,0,176,277
688,688,2.54242,0,0,278,279
689,228,0.513024,1,0,94,278
690,228,0.513024,1,0,95,278
691,33,0.162164,1,0,17,279
692,33,0.162165,1,0,144,279
693,693,1.36879,1,0,280,281
694,83,0.884429,1,0,37,280
695,83,0.884429,1,0,94,280
696,568,0.476846,1,0,230,281
697,568,0.476846,1,0,231,281
698,698,0.434156,1,0,282,283
699,233,0.51368,0,0,96,282
700,233,0.51368,1,0,97,282
701,19,0.164865,0,0,27,283
702,19,0.164865,0,0,97,283
703,703,0.667552,1,0,284,285
704,48,0.632944,1,0,22,284
705,48,0.632944,1,0,96,284
706,233,0.25684,1,0,96,285
707,233,0.25684,1,0,282,285
708,708,0.538255,1,0,286,287
709,48,0.632944,1,0,23,286
710,48,0.632944,1,0,96,286
711,373,1.11549,1,0,152,287
712,373,1.11549,1,0,153,287
713,713,0.929146,1,0,288,289
714,238,1.28864,1,0,98,288
715,238,1.8202,1,0,99,288
716,20,0.1,1,0,35,289
717,20,0.1,1,0,146,289
718,718,0.370978,1,0,290,291
719,23,0.277557,1,0,42,290
720,23,0.277557,1,0,98,290
721,183,0.076399,1,0,76,291
722,183,0.076399,1,0,236,291
723,723,0.230191,1,0,292,293
724,14,0.149,0,0,44,292
725,14,0.149,1,0,99,292
726,14,0.149,1,0,57,293
727,14,0.149,0,0,99,293
728,728,0.23682,1,0,294,295
729,38,0.16241,1,0,26,294
730,38,0.16241,1,0,100,294
731,58,0.0523839,1,0,92,295
732,58,0.0523839,1,0,272,295
733,733,0.0718457,1,0,296,297
734,38,0.16241,1,0,38,296
735,38,0.16241,1,0,100,296
736,88,0.227635,1,0,38,297
737,88,0.227635,0,0,101,297
738,738,0.327797,1,0,298,299
739,88,0.227634,1,0,39,298
740,88,0.227635,1,0,101,298
741,58,0.052384,1,0,93,299
742,58,0.0523838,1,0,271,299
743,743,0.961176,1,0,300,301
744,248,1.16108,1,0,102,300
745,248,1.16108,1,0,103,300
746,16,0.164865,0,0,103,301
747,16,0.164865,1,0,235,301
748,748,0.570114,1,0,302,303
749,26,0.215826,1,0,5,302
750,26,0.215825,1,0,102,302
751,31,0.2,1,0,91,303
752,31,0.2,0,0,125,303
753,753,0.37025,1,0,304,305
754,16,0.32973,1,0,80,304
755,16,0.32973,1,0,103,304
756,16,0.0824324,1,0,103,305
757,16,0.0824324,1,0,301,305
758,758,0.398544,1,0,306,307
759,253,0.589585,1,0,104,306
760,253,0.589584,1,0,105,306
761,20,0.1,1,0,86,307
762,20,0.1,1,0,105,307
763,763,1.02409,1,0,308,309
764,103,0.652178,1,0,44,308
765,103,0.652178,1,0,104,308
766,103,0.652178,1,0,45,309
767,103,0.652178,1,0,104,309
768,768,0.205758,1,0,310,311
769,258,0.230228,1,0,106,310
770,258,0.230228,1,0,107,310
771,4,0.991563,1,1,41,311
772,4,0,1,1,51,311
773,773,0.415185,1,0,312,313
774,118,0.283139,0,0,50,312
775,118,0.283139,1,0,106,312
776,118,0.283139,1,0,51,313
777,118,0.283139,1,0,106,313
778,778,0.461294,1,0,314,315
779,263,0.512715,1,0,108,314
780,263,0.512715,1,0,109,314
781,108,0.44965,0,0,49,315
782,108,0.44965,1,0,120,315
783,783,0.347757,1,0,316,317
784,113,0.231415,1,0,48,316
785,113,0.231415,1,0,108,316
786,113,0.231415,1,0,49,317
787,113,0.231415,1,0,108,317
788,788,0.227971,1,0,318,319
789,15,0.125442,1,0,30,318
790,15,0.125442,1,0,109,318
791,15,0.125442,0,0,46,319
792,15,0.125442,1,0,109,319
793,793,2.8484,1,0,320,321
794,268,0.14086,1,0,110,320
795,268,0.14086,1,0,111,320
796,88,0.113817,1,0,101,321
797,88,0.113817,1,0,297,321
798,798,0.562659,1,0,322,323
799,32,0.385592,1,0,32,322
800,32,0.385592,1,0,110,322
801,32,0.0580878,1,0,110,323
802,32,0.0580879,1,0,199,323
803,803,0.281115,1,0,324,325
