index, isfixed(bool), pos.x,pos.y,pos.z
165,1,1.5,1.905,3
166,0,1.21928,-1.39806,0.927379
167,1,1.5,-2.905,1
168,0,-3.23705,-1.96697,-2.74834
169,0,-1.31588,-1.65318,0.656456
170,0,-1.42252,0.835967,0.0997707
171,0,-1.58878,1.11355,0.131162
172,0,1.676,-2.28948,1.84574
173,1,1.5,-2.905,2
174,0,-1.18802,1.00309,0.88323
175,0,-1.02667,0.787892,1.05328
176,0,-2.15719,1.57842,-1.74277
177,0,-1.78187,1.09496,-0.884553
178,0,2.28893,2.59939,2.79553
179,0,1.67849,1.85457,2.21044
180,0,1.47128,-0.23754,1.10776
181,0,1.36139,-1.11919,0.484146
182,0,-2.90517,-1.66245,-2.16666
183,0,-2.20351,-0.995328,-0.526757
184,0,1.49821,-2.79511,1.94618
185,0,1.505,-2.75758,1.92391
186,0,-0.844893,-1.34876,0.893865
187,0,-0.528222,-1.42203,0.911246
188,0,-1.11861,-0.199656,0.697801
189,0,-1.2149,-0.465661,0.73389
190,0,0.821686,-1.00348,1.17448
191,0,0.856827,0.745328,1.43661
192,0,-2.73825,-1.53422,-2.17302
193,0,-1.91727,-1.16905,-1.56248
194,0,3.37491,2.77255,-2.82956
195,0,3.37299,2.77991,-2.81137
196,1,2.5,-2.905,2
197,0,2.27305,-2.70933,1.89907
198,1,-3.5,2.905,-3
199,0,-3.39037,2.79983,-2.91024
200,0,2.49191,2.09209,-1.9045
201,0,1.30108,1.42595,1.72722
202,0,-1.52467,-1.94405,1.10611
203,0,-2.3179,-2.77317,1.89617
204,0,-0.968114,-1.11242,0.972117
205,0,-1.04722,0.692403,0.994274
206,0,-1.11312,1.11349,1.46356
207,0,-1.62341,1.10398,0.0506318
208,0,-1.47827,1.5323,1.94954
209,0,-1.89458,2.02765,2.31147
210,0,1.79821,-2.30046,1.68071
211,0,1.33175,-1.30656,0.814804
212,0,-0.15624,0.0672024,-0.0151446
213,0,-0.995005,0.0303439,0.723654
214,0,1.22965,1.29633,-1.32189
215,0,1.73022,0.873687,-1.49014
216,0,-0.746438,-1.42537,0.95631
217,0,-0.467023,-1.42907,0.906927
218,0,-1.81363,0.695101,-0.659748
219,0,-1.76727,1.1376,-0.0971495
220,0,-1.54284,0.665122,-1.36347
221,0,0.468967,1.21358,-1.17147
222,0,-1.9627,1.25046,-0.0175387
223,0,-2.39671,-1.2151,-1.8101
224,0,-2.56544,1.98408,1.28822
225,0,-1.19607,1.20084,1.59632
226,0,-3.29869,1.85207,0.0887471
227,0,-2.8974,1.91456,0.70428
228,0,-2.91142,1.69296,0.115852
229,0,-2.30562,0.0897793,-0.894435
230,0,-2.30838,2.5845,2.73068
231,0,-1.7878,1.89709,2.23099
232,0,-2.17446,1.60239,-1.11989
233,0,-0.00127952,1.27807,-1.15543
234,0,-0.582428,1.35256,-1.30254
235,0,1.62112,1.27003,-1.09982
236,0,-1.52984,-2.76675,1.87367
237,1,-1.5,-2.905,2
238,0,-1.51398,-2.77021,1.83169
239,0,-1.49894,-1.8085,0.161628
240,0,0.327207,-2.37689,1.04211
241,0,0.201134,-2.05665,1.08751
242,0,0.078267,-1.70394,1.0539
243,0,-0.266721,-1.12956,1.54585
244,0,2.60025,1.36894,-0.109193
245,0,2.70397,-1.57945,-2.53391
246,0,1.14014,1.22182,0.645147
247,0,-1.20766,1.27031,-1.26471
248,0,-0.966365,-2.2029,-1.95675
249,0,-3.3617,-2.03296,-2.87319
250,0,-1.59309,-1.15397,-1.46786
251,0,-1.70272,-0.251813,-1.35804
252,0,-0.363945,-1.38581,-1.71009
253,0,0.496131,-1.31053,-1.7458
254,0,0.487546,-2.82112,-1.98922
255,0,0.470533,-2.79766,-1.98287
256,0,0.306222,-2.13537,-1.87967
257,0,0.452842,-2.74507,-1.97379
258,0,0.196094,-1.42198,0.971451
259,0,-1.01801,-1.33135,0.162844
260,0,-1.00406,-1.60394,1.04499
261,0,-0.878608,-1.29621,0.877505
262,0,1.55638,1.91901,2.82923
263,0,1.55861,1.8937,2.83568
264,0,1.67568,1.93673,2.52073
265,0,1.58456,1.9249,2.74379
266,0,1.85764,-1.48237,-2.19768
267,0,2.14115,-1.21232,-2.10014
268,0,3.16819,-1.89159,-2.81655
269,0,2.7743,-1.63711,-2.58609
270,0,-1.79906,1.34233,0.346596
271,0,-1.74438,1.35098,0.411334
272,0,-1.98072,1.35402,0.144492
273,0,-1.86767,1.35311,0.284452
274,0,-1.91891,1.43049,0.318035
275,0,-2.266,1.49627,0.133484
276,0,-1.54366,1.22723,0.478158
277,0,-2.33473,1.77348,-1.96328
278,0,-0.491673,-0.366621,2.44477
279,0,0.435517,-2.74037,1.06241
280,0,-1.27371,0.894282,2.14803
281,0,-2.04165,2.14877,2.56117
282,0,-1.07179,1.13806,0.0921238
283,0,-1.42521,1.13813,0.389062
284,0,-0.500989,1.24435,-0.680084
285,0,-0.881684,1.14303,-0.10098
286,0,-0.737876,0.558706,0.285765
287,0,-0.440429,0.70541,-0.172154
288,0,-1.01105,-1.76464,1.52344
289,0,-0.295629,-1.44794,0.946509
290,0,-1.83246,-2.46737,1.63163
291,0,-1.54607,-2.68757,1.80064
292,0,0.568156,-0.352599,1.33827
293,0,0.590214,-0.585294,1.24958
294,0,-2.18665,1.42542,0.090683
295,0,-1.97618,1.37233,0.194448
296,0,-2.53416,1.57675,0.12267
297,0,-2.47267,1.61272,0.133983
