index, isfixed(bool), pos.x,pos.y,pos.z
168,0,-3.31845,-1.96377,-2.80294
169,0,-1.18182,-1.60315,0.792847
170,0,-1.35644,0.965187,0.0555664
171,0,-1.6065,1.3062,0.111007
172,0,1.73052,-2.11185,1.87605
173,1,1.5,-2.905,2
174,0,-1.17356,1.06234,0.944736
175,0,-0.985764,0.796748,1.06129
176,0,-2.20505,1.55095,-2.00525
177,0,-1.86282,1.05819,-0.947599
178,0,2.32838,2.63118,2.83227
179,0,1.6113,1.77595,2.2651
180,0,1.49907,-0.148756,1.2333
181,0,1.37581,-1.11441,0.555508
182,0,-2.93077,-1.64339,-2.13318
183,0,-2.27465,-0.887026,-0.3093
184,0,1.4937,-2.80001,1.94936
185,0,1.49079,-2.74975,1.92497
186,0,-0.813558,-1.29979,0.777968
187,0,-0.429272,-1.34955,0.712423
188,0,-1.08449,-0.288782,0.566817
189,0,-1.23259,-0.59038,0.632358
190,0,0.763121,-1.14858,1.25846
191,0,0.84544,0.762248,1.46405
192,0,-2.7812,-1.56786,-2.21009
193,0,-1.88184,-1.1815,-1.60758
194,0,3.33471,2.76196,-2.85103
195,0,3.33471,2.76196,-2.85103
196,1,2.5,-2.905,2
197,0,2.23839,-2.7025,1.95002
198,1,-3.5,2.905,-3
199,0,-3.35303,2.75713,-2.92423
200,0,2.51172,2.0477,-2.10752
201,0,1.25586,1.3287,1.83328
202,0,-1.4043,-2.02885,0.880232
203,0,-2.30474,-2.75707,1.87836
204,0,-1.05316,-1.29938,0.777737
205,0,-1.02146,0.717184,0.963453
206,0,-1.01079,0.995312,1.56596
207,0,-1.73496,1.19608,0.0365196
208,0,-1.35524,1.31009,2.01838
209,0,-1.85888,1.90208,2.32219
210,0,1.74534,-2.31007,1.78152
211,0,1.28367,-1.21855,0.870692
212,0,0.150359,-0.056098,-0.261884
213,0,-0.918084,-0.0302316,0.550479
214,0,1.34156,1.31837,-1.33764
215,0,1.93521,0.840735,-1.53719
216,0,-0.704739,-1.37726,0.746031
217,0,-0.378019,-1.37258,0.719062
218,0,-1.89689,0.693717,-0.617764
219,0,-1.88848,1.24523,-0.0271857
220,0,-1.87681,0.658562,-1.3703
221,0,0.576542,1.17044,-1.17004
222,0,-2.03974,1.36894,0.0663394
223,0,-2.32163,-1.3858,-1.90412
224,0,-2.64604,2.08566,1.40358
225,0,-1.09155,1.01995,1.64457
226,0,-3.31382,1.89274,0.15653
227,0,-2.86955,1.97102,0.860625
228,0,-2.93652,1.80809,0.29769
229,0,-2.19659,-0.00557137,-0.917505
230,0,-2.33086,2.60068,2.7538
231,0,-1.71729,1.71363,2.24605
232,0,-2.35342,1.59382,-1.13222
233,0,-0.0239369,1.17911,-1.18086
234,0,-0.740116,1.24536,-1.24949
235,0,1.8304,1.28022,-1.06618
236,0,-1.5217,-2.77827,1.84677
237,1,-1.5,-2.905,2
238,0,-1.52192,-2.77666,1.84478
239,0,-1.57117,-1.74461,5.96046e-08
240,0,0.335467,-2.43699,0.990351
241,0,0.178133,-2.0757,1.10605
242,0,0.1083,-1.80185,0.954523
243,0,-0.274623,-1.15237,1.60377
244,0,2.65403,1.56321,0.0395736
245,0,2.66014,-1.59249,-2.59166
246,0,1.40458,1.11043,0.712246
247,0,-1.34745,1.15978,-1.34298
248,0,-0.696331,-2.19972,-1.82256
249,0,-3.37037,-2.0215,-2.82191
250,0,-1.5639,-1.21086,-1.48187
251,0,-1.76103,-0.196523,-1.29232
252,0,-0.388036,-1.45182,-1.69828
253,0,0.574124,-1.38861,-1.79927
254,0,0.472118,-2.81533,-1.986
255,0,0.472118,-2.81533,-1.986
256,0,0.286015,-2.07052,-1.86449
257,0,0.45835,-2.771,-1.97906
